Company,Date,Open Price,High Price,Low Price,Close Price,Adjusted Close,Volume,Price Change (%),7-Day Moving Avg,30-Day Moving Avg,Volatility
NFLX,2023-03-10,297.8999939,298.7900085,289.0,292.7600098,29276.00%,5759300,-1.7254059097850987,307.12714495714283,332.17260876086954,8.453848072774901
NFLX,2023-03-13,287.3399963,299.2399902,285.3299866,293.5100098,29351.00%,6292400,2.147286691532536,304.5028599428571,330.5616671375,9.516948677871193
NFLX,2023-03-14,295.9700012,297.4500122,290.3099976,294.9400024,29494.00%,5956700,-0.34800783722130385,301.61143275714284,329.13680054800005,8.77836825291499
NFLX,2023-03-15,292.5100098,306.3099976,292.2799988,303.7900085,30379.00%,9215300,3.856277844205256,300.43429128571427,328.16192393076926,7.625161579429036
NFLX,2023-03-16,304.75,316.6000061,301.7099915,310.0599976,31006.00%,7903700,1.7424110254306724,300.66143362857144,327.4914822148148,7.9223204448918
NFLX,2023-03-17,310.0599976,310.7600098,300.0,303.5,30350.00%,6918800,-2.1157187804867528,299.4771467,326.63464356428574,6.467527851518692
NFLX,2023-03-20,299.7900085,307.5,296.0,305.1300049,30513.00%,5113400,1.7812456214664065,300.52714757142854,325.8931043,6.737092363498383
NFLX,2023-03-21,306.3200073,307.9200134,300.4299927,305.7900085,30579.00%,4886300,-0.17302128080746723,302.3885759571429,325.2230011066667,5.992291543210375
NFLX,2023-03-22,306.3099976,306.4500122,293.5400085,293.8999939,29390.00%,5808000,-4.051452383936145,302.44428797142854,322.92133383,5.897043173875605
NFLX,2023-03-23,304.6799927,322.7799988,304.1400146,320.3699951,32037.00%,15653300,5.149666133623998,306.07714407142856,321.3726674466667,7.971656866527588
NFLX,2023-03-24,320.6300049,331.8299866,320.6300049,328.3900146,32839.00%,12991700,2.420238150331624,309.5914306571429,320.23566793333333,11.456189083074422
NFLX,2023-03-27,327.5499878,336.4400024,324.4100037,327.6600037,32766.00%,8625800,0.03358751460774978,312.10571724285717,319.57900187666667,13.350829733405654
NFLX,2023-03-28,326.0599976,333.3200073,321.2799988,323.519989,32352.00%,6489400,-0.7790003737643298,314.96571567142854,318.41066793333334,13.344399704396706
NFLX,2023-03-29,326.2900085,332.8500061,325.730011,332.0299988,33203.00%,6287300,1.75916827070112,318.80857194285716,317.4796681766667,13.901521276926662
NFLX,2023-03-30,340.269989,343.2900085,335.2999878,338.4299927,33843.00%,7131500,-0.5407459839192564,323.47142682857145,316.71333415333334,14.27606044802281
NFLX,2023-03-31,340.0499878,345.8399963,337.2000122,345.480011,34548.00%,5610200,1.5968308762868286,330.8400007,316.53900146999996,8.685930932496316
NFLX,2023-04-03,341.8299866,348.5799866,340.3999939,348.2799988,34828.00%,4413700,1.8869064894378709,334.8271440857143,316.54966838,9.450958565147763
NFLX,2023-04-04,348.4899902,349.7999878,343.9500122,346.75,34675.00%,3298100,-0.49929416882287897,337.4499991428571,316.85800171333335,9.903585069579176
NFLX,2023-04-05,345.2999878,345.4299927,336.25,342.3500061,34235.00%,4205500,-0.8543242989364576,339.54857091428573,317.1070017533333,8.998370374984376
NFLX,2023-04-06,339.3399963,340.480011,332.6300049,339.3299866,33933.00%,4660500,-0.002949755439722061,341.807142,317.6296681766666,5.675214443926244
NFLX,2023-04-10,335.269989,339.8800049,333.3599854,338.9899902,33899.00%,2657900,1.1095538885229639,342.8014264857143,318.3576680533333,4.055283745693338
NFLX,2023-04-11,343.4500122,347.1400146,337.6400146,338.2099915,33821.00%,4044800,-1.5257011250151304,342.76999774285713,318.86366781000004,4.09546263305546
NFLX,2023-04-12,340.8099976,342.7999878,330.0400085,331.0299988,33103.00%,3965400,-2.869633775086177,340.7057102857143,319.1603342733333,5.7921111501894575
NFLX,2023-04-13,339.9899902,346.4299927,338.75,346.1900024,34619.00%,7406400,1.8235866874647777,340.40713937142857,320.25066732,5.3754830917488805
NFLX,2023-04-14,342.9400024,344.8500061,336.4100037,338.6300049,33863.00%,5350500,-1.2567788738080465,339.24714007142853,321.1423339866667,4.598587612193581
NFLX,2023-04-17,338.0,338.3900146,327.5,332.7200012,33272.00%,6136000,-1.5621298224852034,337.8714250857143,321.7270009366666,4.943171558900537
NFLX,2023-04-18,335.0,337.1900024,330.5,333.7000122,33370.00%,17944500,-0.3880560597014916,337.0671430285714,322.44933471666667,5.121114246339884
NFLX,2023-04-19,324.2099915,325.75,316.1000061,323.1199951,32312.00%,22128300,-0.3362007429064746,334.80000087142855,322.93766784666667,7.213424128159833
